"No","調査コース","二次メッシュ","lat1","lon1","lat2","lon2","標高(m)","海外線からの距離(km)","1990-2010年代の在不在の比較","1990の観測数","2010年の観測数","都道府県コード","2010 Total Precipitation (mm) within 20km□"
"1979","390-030","503336","33.65234","133.76877","33.65859","133.77881","88.7","13.03981021","0","0","0","0","60335.004"
"1980","390-032","503430","33.61529","134.09975","33.6112","134.08212","471.1","19.63555202","0","1","2","39","64154.395"
"1981","390-034","503320","33.57613","133.06305","33.58155","133.04751","787.7","28.253017","-1","4","0","39","54133.863"
"1982","390-035","503321","33.533017","133.198056","33.53511","133.21374","860.8","16.474151","0","3","2","39","59072.637"
"1983","390-038","503324","33.560467","133.530475","33.55038","133.53538","22.1","2.836062606","0","0","0","0","65736.42"
"1984","390-039","503325","33.54434","133.68436","33.53655","133.68325","3.1","1.064667972","0","0","0","0","63656.938"
"1985","390-040","503326","33.52776","133.76011","33.53723","133.77672","41.9","0.4328478698","0","32","3","39","60776.39"
"1986","390-042","503420","33.50643","134.11694","33.51353","134.12745","187.7","12.51594821","0","0","0","0","65373.23"
"1987","390-047","503310","33.48126","133.0173","33.47997","133.0338","1438.8","25.85489593","0","1","2","39","52749.09"
"1988","390-048","503311","33.500542","133.1588","33.493264","133.137817","502.7","16.03594328","0","3","5","39","57825.367"
"1989","390-050","503313","33.46381","133.47448","33.46865","133.46719","7.1","0.7246701094","0","0","0","0","63616.348"
"1990","390-053","503317","33.45625","133.95426","33.46961","133.9637","60.8","0.8626219963","0","0","0","0","61866.65"
"1991","390-054","503410","33.4237","134.01421","33.4398","134.02777","3.3","0.1034276605","0","0","0","0","63712.1"
"1992","390-061","503302","33.38557","133.27797","33.3911","133.25321","1.2","0.07919292837","0","0","0","0","59998.137"
"1993","390-067","493370","33.32985","133.06523","33.33661","133.06455","342.9","15.44061898","0","0","0","0","55561.855"
"1994","390-075","493267","33.21551","132.90016","33.21585","132.90316","116.5","23.51700454","0","0","0","0","52082.88"
"1995","390-077","493361","33.22115","133.14059","33.24405","133.13698","216.8","7.638332652","0","0","0","0","58070.92"
"1996","390-079","493471","33.251856","134.177122","33.2505","134.173583","184.2","0.3803847955","0","0","0","0","64851.035"
"1997","390-083","493257","33.12063","132.88486","33.14638","132.88507","158.7","16.60477691","0","0","0","0","52407.68"
"1998","390-087","493246","33.02498","132.85427","33.00561","132.83895","26.3","14.29630714","0","0","0","0","53018.816"
"1999","390-088","493247","33.03911","132.9226","33.0514","132.91281","14.2","8.688263604","0","0","0","0","53417.16"
"2000","390-091","493236","32.96006","132.82921","32.965","132.84474","6.9","11.90232365","0","0","0","0","53289.83"
"2001","390-092","493237","32.95323","132.9663","32.94526","132.95789","14","2.418222435","0","0","0","0","54786.727"
"2002","390-094","493225","32.87811","132.73547","32.87193","132.73174","40","1.397965675","0","0","0","0","51276.223"
"2003","390-095","493226","32.85633","132.75801","32.86155","132.77513","50.7","4.192300556","0","0","0","0","52538.996"
"2004","390-100","493215","32.78854","132.6644","32.77824","132.64234","93.4","0.6446704558","0","0","0","0","48969.56"
"2005","390-102","493217","32.77216","132.97094","32.760947","132.990067","39.9","0.5793648622","0","0","0","0","56497.074"
"2006","390-105","493204","32.704842","132.543619","32.721044","132.566581","149.5","0.3010842587","0","0","0","0","48180.703"
"2007","390-109","493300","32.72619","133.01886","32.744858","133.002306","63.2","0.2665133769","0","0","0","0","56470.383"
"2008","400-001","513020","34.23139","130.11117","34.24127","130.10371","5","1.085455184","0","0","0","0","41244.797"
"2009","400-007","503170","33.94305","131.01311","33.95876","131.02238","4.5","0.06048147902","0","0","0","0","39439.293"
"2010","400-010","503064","33.85623604","130.5582998","33.85445","130.5375","56.3","2.806018828","0","0","0","0","36883.723"
"2011","400-011","503065","33.90684","130.72728","33.90946","130.71639","5.2","2.345506488","0","0","0","0","36968.24"
"2012","400-012","503066","33.85375","130.79686","33.84661","130.7892","201.7","2.238571446","0","0","0","0","35496.19"
"2013","400-013","503067","33.86801","130.95241","33.87189","130.93567","58.2","2.674512422","0","0","0","0","36921.254"
"2014","400-016","503053","33.79599","130.46669","33.80973","130.45856","1.3","0.9997058944","0","0","0","0","37861.023"
"2015","400-017","503054","33.78601","130.53679","33.77875","130.5574","41.5","6.331024532","0","0","0","0","36994.617"
"2016","400-018","503055","33.83221","130.72645","33.82096","130.70246","30.6","4.815669924","0","0","0","0","35654.336"
"2017","400-020","503057","33.8283439","130.8999575","33.81853063","130.9106327","16.4","5.255957448","0","0","0","0","35693.75"
"2018","400-023","503041","33.685731","130.233789","33.688872","130.236986","101","0.3471574662","0","0","0","0","39538.97"
"2019","400-025","503043","33.67759","130.46474","33.67972","130.46831","158.8","3.083616698","0","0","0","0","38238.44"
"2020","400-028","503046","33.7308","130.78713","33.72808","130.7899","274.8","15.90556276","0","0","0","0","36735.027"
"2021","400-030","503140","33.72489","131.02024","33.74785","131.01262","3.9","0.7125319742","0","0","0","0","38287.773"
"2022","400-032a","503031","33.64679","130.22945","33.6489","130.22254","73","0.4967344774","-1","1","0","40","39729.773"
"2023","400-032b","503031","33.62944","130.22678","33.61916","130.23174","2","0.3452882132","0","0","0","0","39819.34"
"2024","400-036","503035","33.64414","130.71155","33.6397","130.69996","36.8","25.61364667","0","0","0","0","38792.977"
"2025","400-039","503130","33.61873","131.02564","33.60685","131.02518","68","5.55997214","1","0","4","40","37229.695"
"2026","400-042","503021","33.52908","130.21454","33.52082","130.20886","59","5.443994455","0","0","0","0","40970.906"
"2027","400-043","503022","33.52626","130.34322","33.51634","130.35143","54.5","7.412135603","0","0","0","0","40667.17"
"2028","400-044a","503023","33.57305","130.3864","33.5699","130.3931","52.3","2.327969409","0","0","0","0","39789.613"
"2029","400-044b","503023","33.52756","130.37351","33.50871","130.37622","155.9","7.389311415","1","0","1","40","40794.87"
"2030","400-045","503024","33.53533","130.59533","33.55099","130.58767","315.3","19.15435757","0","0","0","0","42162.16"
"2031","400-047","503026","33.52487","130.82331","33.527953","130.819475","281","26.84892524","0","0","0","0","40357.02"
"2032","400-048","503027","33.52865","130.90131","33.5252","130.9151","225","20.61943553","1","0","1","40","39671.258"
"2033","400-053","503012","33.48526","130.26676","33.49405","130.29119","502.9","10.69311","1","0","5","40","41428.016"
"2034","400-055","503014","33.48666","130.50089","33.48172","130.50613","114","15.79645521","0","0","0","0","42708.332"
"2035","400-056","503015","33.48206","130.72402","33.48379","130.72567","705.5","32.48645022","0","1","3","40","42352.375"
"2036","400-057","503016","33.46712","130.82733","33.46672","130.83641","475.7","30.16239584","0","1","1","40","41923.19"
"2037","400-058","503017","33.4761","130.89546","33.47317","130.91121","447.7","24.57553285","0","0","0","0","41167.07"
"2038","400-067","493074","33.30311","130.55984","33.29911","130.57451","67.8","25.11461384","1","0","3","40","48405.156"
"2039","400-074","493065","33.22212","130.6895","33.22437","130.70215","119.1","30.12360106","1","0","1","40","48199.676"
"2040","400-075","493066","33.18022","130.86336","33.19003","130.87067","622","43.3600415","0","2","4","40","48165.047"
"2041","400-078","493053","33.1074","130.39764","33.0986","130.39618","6.3","0.1580539128","0","0","0","0","55298.508"
"2042","400-079","493054","33.15209","130.52037","33.15096","130.52503","73.1","12.585012","1","0","2","40","51019.38"
"2043","400-084","493043","33.04501","130.42891","33.040183","130.420581","8.1","0.8980236318","0","0","0","0","55833.434"
"2044","410-005","502927","33.52053","129.88178","33.5299","129.88985","23","0.08236327632","0","0","0","0","41278.953"
"2045","410-007","502917","33.45463","129.97884","33.4375","129.98815","14.5","0.1326566169","0","0","0","0","42570.195"
"2046","410-008","503010","33.43976","130.0001","33.43191","130.01202","1.4","0.714482885","0","0","0","0","42855.723"
"2047","410-015","503000","33.39153","130.10042","33.39802","130.10767","600.9","9.054673614","0","0","0","0","43678.234"
"2048","410-017","503002","33.35022","130.31443","33.357","130.30022","214.2","17.41716606","0","0","0","0","44820"
"2049","410-018","503003","33.38412","130.45333","33.39624","130.44565","301.1","24.12650905","1","0","2","41","44844.914"
"2050","410-020","492976","33.27942","129.81675","33.27856","129.79773","203.2","1.956621369","0","0","0","0","43655.69"
"2051","410-023","493071","33.31019","130.22617","33.31066","130.20821","44.7","12.03746121","0","0","0","0","46181.12"
"2052","410-024","493072","33.307375","130.368456","33.327425","130.356611","11.7","15.86191776","0","0","0","0","46779.996"
"2053","410-025","493073","33.2695","130.43768","33.27489","130.4491","8.7","15.53950239","0","0","0","0","49044.395"
"2054","410-028","492967","33.20711","129.88639","33.20821","129.90118","147","9.774675384","0","0","0","0","45796.33"
"2055","410-030","493061","33.19952","130.18365","33.19059","130.16657","5","2.914344899","0","0","0","0","49050.535"
"2056","410-036","493051","33.12512","130.14683","33.11801","130.13529","0.4","1.395908025","0","0","0","0","48759.996"
"2057","410-037","493052","33.147697","130.306328","33.160194","130.285772","0.9","1.406914555","0","0","0","0","53908.04"
"2058","410-039","493040","33.03892","130.06835","33.01156","130.0635","249.1","7.99554308","0","0","0","0","50093.137"
"2059","420-001","502966","33.83736","129.75069","33.84703","129.72538","142","1.047957704","0","0","0","0","40179.242"
"2060","420-004","502956","33.78568","129.77965","33.79104","129.77341","1","0.07926529867","0","0","0","0","40265.223"
"2061","420-014","502903","33.35464361","129.4164056","33.36713594","129.4213455","85","0.4107621885","0","0","0","0","42558.504"
"2062","420-015","502904","33.36075799","129.6134106","33.36230297","129.5911201","54.2","0.9436577835","0","0","0","0","41877.656"
"2063","420-018","492970","33.27617","129.11402","33.26518","129.11818","120","1.27564763","0","0","0","0","41144.05"
"2064","420-020","492973","33.2705561","129.4544755","33.26778494","129.475227","92","2.431795234","0","0","0","0","42952.797"
"2065","420-022","492975","33.27743","129.70105","33.273578","129.694906","176.1","7.662769891","0","0","0","0","43643.652"
"2066","420-031","492965","33.20077","129.70703","33.17972","129.70428","269.4","3.808165715","0","0","0","0","45702.85"
"2067","420-032","492966","33.17965","129.80465","33.18212","129.77319","641.1","4.485393513","0","0","0","0","46203.195"
"2068","420-039","492955","33.11949","129.6619","33.11375","129.66899","95.2","0.4770813403","0","0","0","0","48052.242"
"2069","420-041","492957","33.11824","129.90872","33.11525","129.91632","181.1","6.744191741","0","0","0","0","48002.6"
"2070","420-042","492940","33.07383","129.10949","33.06302","129.10262","79","0.2966957816","0","0","0","0","42187.434"
"2071","420-047","492945","33.07015","129.67181","33.06782","129.68198","36.1","0.1842345063","0","0","0","0","48868.484"
"2072","420-049","492947","33.03799","129.98449","33.02443","129.97921","408.2","4.564319191","0","0","0","0","50361.938"
"2073","420-052","492930","32.92039","129.0538","32.9368","129.05036","48","0.3051078297","0","0","0","0","44348.664"
"2074","420-053","492931","32.97978","129.12426","32.96347","129.14357","16","0.6231253766","0","0","0","0","43626.887"
"2075","420-057","492935","32.92327","129.74527","32.92626","129.74621","484.1","3.674198846","0","0","0","0","50231.797"
"2076","420-058","492936","32.99529","129.76985","32.98705","129.77985","5.5","0.5678256043","0","0","0","0","48935.188"
"2077","420-059","492937","32.97771","129.98221","32.98663","129.96715","270.3","3.1927014","0","0","0","0","52892.04"
"2078","420-060","493030","32.97447","130.07402","32.97337","130.08968","467","9.980715151","0","0","0","0","52775.8"
"2079","420-063","492827","32.83803","128.942","32.85614","128.95233","66","0.6175694973","0","0","0","0","45681.13"
"2080","420-067","492925","32.9113","129.72931","32.9136","129.70407","338.1","5.031958238","0","0","0","0","50168.062"
"2081","420-070","493020","32.84741","130.07772","32.86255","130.10604","2.3","1.936571867","0","0","0","0","57732.61"
"2082","420-073","492815","32.76999","128.67094","32.75752","128.6833","107","0.9802108699","0","0","0","0","46173.7"
"2083","420-075","492817","32.79184","128.88178","32.7746","128.87565","14","0.9447802144","0","0","0","0","46040.438"
"2084","420-078","492916","32.79666","129.83981","32.79202","129.84659","141.7","3.846656149","0","0","0","0","55078.066"
"2085","420-081","493011","32.79779","130.22767","32.79744","130.2175","394.2","3.724284543","0","0","0","0","56879.5"
"2086","420-082","493012","32.76622","130.26923","32.78558","130.26785","945.7","6.025378026","0","0","0","0","56565.742"
"2087","420-085","492805","32.67665","128.68437","32.68523","128.7026","16","0.9907703504","0","0","0","0","46429.844"
"2088","420-086","492806","32.68125","128.76745","32.69285","128.75728","69","4.021370789","0","0","0","0","46688.996"
"2089","420-090","492907","32.7391","129.92469","32.74604","129.94374","361.6","1.707301605","0","0","0","0","56981.63"
"2090","420-092","493001","32.68621","130.19591","32.6892","130.20759","246.8","2.474502258","0","0","0","0","58594.605"
"2091","420-095","482874","32.62738","128.61032","32.61756","128.60512","45","0.09415435796","0","0","0","0","46297.22"
"2092","420-096","482875","32.61139","128.72757","32.61712","128.70835","17","0.5336777325","0","0","0","0","46720.598"
"2093","420-097","482876","32.66629","128.84862","32.6621","128.8509","151","2.320000652","0","0","0","0","46775.258"
"2094","420-100","482976","32.66685","129.84035","32.66674","129.86159","53.1","2.252361221","0","0","0","0","56461.562"
"2095","420-102","483071","32.59154","130.16859","32.60136","130.17932","13.8","0.1104530021","0","0","0","0","60088.19"
"2096","420-108","482966","32.56115","129.78671","32.56309","129.7816","3.7","0.2687093988","0","0","0","0","56164.92"
"2097","420-110","512972","34.6176","129.35016","34.62313","129.34046","8","2.604518446","0","0","0","0","36771.582"
"2098","420-111","512973","34.65382","129.45534","34.63229","129.4459","22","0.8392797545","0","0","0","0","36717.973"
"2099","420-113","512962","34.58532","129.3641","34.57179","129.3792","36","5.17140387","0","0","0","0","37018.59"
"2100","420-114","512952","34.4701","129.2902","34.46659","129.30154","20","1.230042013","0","0","0","0","37882.875"
"2101","420-117","512942","34.4059","129.33798","34.39612","129.34322","37","2.198406264","0","0","0","0","38477.61"
"2102","420-120","512932","34.26131","129.26828","34.26395","129.24982","29","2.621153968","0","0","0","0","39370.605"
"2103","420-123","512922","34.20568","129.28694","34.20413","129.28479","70","0.6456026348","0","0","0","0","39699.78"
"2104","420-124","512911","34.1502","129.21279","34.14158","129.21709","126","3.578286531","0","0","0","0","39921"
"2105","430-008","493150","33.15352","131.05148","33.153783","131.025247","323.7","44.60402386","0","2","6","43","47403.895"
"2106","430-011","493044","33.06802","130.55153","33.08638","130.54136","96.2","12.01312394","0","0","0","0","51076.89"
"2107","430-013","493046","33.05254","130.83459","33.06971","130.83468","330.6","33.1558786","1","0","3","43","50568.242"
"2108","430-017","493033","32.95928","130.49084","32.94129","130.46767","40.7","5.287557722","-1","1","0","43","56568.535"
"2109","430-018","493034","32.96953","130.50925","32.97698","130.53076","64.5","7.224991391","0","0","0","0","55634.85"
"2110","430-021","493037","32.93384","130.95759","32.94675","130.96596","874.2","35.72909366","0","2","2","43","48784.14"
"2111","430-026","493024","32.85236","130.54439","32.86894","130.5228","-1.1","1.472966677","0","0","0","0","56151.895"
"2112","430-029","493027","32.854703","130.982233","0","0","708.3","35.21120392","0","0","0","0","48665.258"
"2113","430-030","493120","32.86356","131.03514","32.85611","131.05175","675.7","40.25984994","1","0","2","43","47719.336"
"2114","430-031","493121","32.90434","131.14703","32.90513","131.16227","798.7","51.46346653","0","4","8","43","45968.86"
"2115","430-033","493014","32.77807","130.60195","32.75696","130.6053","2.9","0.08214513648","0","0","0","0","55857.4"
"2116","430-035","493016","32.75853","130.81307","32.76409","130.83989","14.2","19.07308875","0","0","0","0","53313.12"
"2117","430-037","493110","32.79887","131.01583","32.81539091","131.0311157","763.2","37.69260143","0","2","4","43","48863.305"
"2118","430-041","493005","32.67879","130.68579","32.67007","130.69996","9.4","5.190157893","0","0","0","0","55091.82"
"2119","430-042","493006","32.72704","130.82775","32.74665","130.84685","107.9","18.93271537","-1","2","0","43","53528.266"
"2120","430-045","493101","32.72142","131.16107","32.72183","131.1863","575.6","48.09278264","1","0","1","43","51180.117"
"2121","430-047","483073","32.6031","130.49633","32.60321","130.48667","30","0.4863291104","0","0","0","0","55151.598"
"2122","430-049","483075","32.6604","130.7341","32.64715","130.72835","66.3","7.670574694","0","0","0","0","55224.004"
"2123","430-051","483077","32.64160158","130.9399631","32.62989","130.95606","213.4","26.34174742","0","2","8","43","53522.92"
"2124","430-054","483060","32.52602","130.03192","32.52544","130.01874","13","0.131316102","1","0","1","43","59204.18"
"2125","430-057","483063","32.5108","130.42154","32.50672","130.41759","94","0.8547114321","0","0","0","0","57182.293"
"2126","430-058","483064","32.54275","130.55694","32.52747","130.55428","5.3","0.1262392659","0","0","0","0","54673.805"
"2127","430-060","483066","32.56425","130.83604","32.55041","130.83819","930.4","17.99500631","0","7","4","43","55377.176"
"2128","430-064","483051","32.45942","130.17588","32.44761","130.15969","10","1.833824274","0","0","0","0","58219.938"
"2129","430-065","483052","32.469672","130.333194","32.48314","130.34033","298","4.459857891","0","0","0","0","58897.633"
"2130","430-067","483054","32.49285","130.59389","32.4774","130.5678","7.4","2.714891635","0","0","0","0","54748.76"
"2131","430-070","483057","32.482586","130.978106","32.50113","130.97548","983.6","33.76796266","0","4","1","43","55203.977"
"2132","430-072","482947","32.361267","129.978706","32.360925","129.984242","111","0.4676342165","0","0","0","0","56867.043"
"2133","430-073","483040","32.407819","130.081222","32.399322","130.094031","165","6.94785683","0","0","0","0","58290.715"
"2134","430-076","483043","32.3901","130.41299","32.36789","130.41934","36","0.5022254054","0","0","0","0","59559.54"
"2135","430-078","483045","32.341847","130.718467","32.335119","130.721319","433.4","17.07112609","0","0","0","0","56361.367"
"2136","430-079","483046","32.384306","130.790572","32.37412","130.77985","715.8","21.18021828","0","0","0","0","56124.6"
"2137","430-083","483030","32.28624","130.0648","32.28869","130.08975","1","0.2067451343","0","0","0","0","57348.945"
"2138","430-086","483033","32.32972","130.48578","32.31197","130.46926","5","0.3871253013","1","0","3","43","58813.195"
"2139","430-088","483035","32.27394","130.63799","32.25928","130.63349","545.6","14.24912727","0","6","6","43","57050.543"
"2140","430-090","483037","32.26068","130.90597","32.28536","130.90636","146.4","36.75578773","0","0","0","0","56147.234"
"2141","430-091","483130","32.31817","131.07267","32.31168","131.10104","597.6","47.46198526","0","1","10","43","55275.637"
"2142","430-092","482927","32.24963","129.98559","32.245136","129.976894","7","0.470822316","0","0","0","0","56679.29"
"2143","430-093","483020","32.18503","130.02523","32.160394","130.044511","48","0.4167114073","0","0","0","0","56953.715"
"2144","430-096","483023","32.20335","130.46873","32.17804","130.46796","537.6","4.461286113","1","0","2","43","57266.246"
"2145","430-097","483024","32.19939548","130.5728438","32.19738","130.55583","634.6","13.24052081","0","0","0","0","58351.473"
"2146","430-100","483027","32.22951","130.95053","32.21811","130.97156","213.6","42.15068581","0","5","2","43","55997.57"
"2147","440-002","503145","33.73032","131.66386","33.73179","131.64433","21","0.7460283001","0","0","0","0","39120.684"
"2148","440-007","503135","33.6397","131.68446","33.63256","131.68343","4.7","0.2561463762","0","0","0","0","38701.727"
"2149","440-010","503121","33.52719","131.18581","33.51418","131.19615","51.4","9.014301651","1","0","9","44","38142.883"
"2150","440-011","503122","33.54135","131.3562","33.51336162","131.340589","5.2","3.586302744","0","0","0","0","37158.51"
"2151","440-012","503123","33.54518","131.44635","33.53426","131.4527","11.2","3.514700884","0","0","0","0","36373.305"
"2152","440-013","503124","33.57385","131.60354","33.58312","131.60154","353","9.998661959","1","0","3","44","36453.71"
"2153","440-018","503112","33.43834","131.26548","0","0","292","15.67853736","1","0","5","44","39764.605"
"2154","440-020","503114","33.4688","131.51763","33.47158","131.52385","236.4","11.24245398","0","0","0","0","36094.96"
"2155","440-023","503007","33.37891","130.97312","33.396569","130.963181","281.9","29.0398372","0","3","3","44","43268.535"
"2156","440-024","503100","33.40473","131.03793","33.397683","131.02445","199.9","24.3808533","0","0","0","0","42067.305"
"2157","440-025a","503101","33.36066","131.13715","0","0","440","27.70739356","0","0","0","0","42634.56"
"2158","440-025b","503101","33.3725126","131.1641532","33.37089","131.1652","328","25.41100441","0","0","0","0","42084.742"
"2159","440-027","503103","33.37412","131.41367","33.37436","131.40547","337","8.000396898","0","0","0","0","38269.055"
"2160","440-028","503104","33.352767","131.586889","33.36294","131.59549","2.7","0.2109907106","0","0","0","0","35807.074"
"2161","440-033","493171","33.28184","131.22652","33.27233","131.24746","588","25.57602085","0","3","10","44","42044.824"
"2162","440-035","493173","33.269771","131.416248","33.282248","131.405775","696.4","8.5018199","0","2","6","44","39250.43"
"2163","440-041","493067","33.242283","130.958289","33.22125","130.96097","279","43.73998129","0","1","3","44","46286.062"
"2164","440-042","493160","33.19308","131.11454","33.19109","131.12239","801","37.73592999","1","0","4","44","46076.918"
"2165","440-045","493163","33.19606","131.48484","33.18981","131.48076","63.3","8.24015444","1","0","2","44","38788.82"
"2166","440-046","493164","33.2116","131.61136","33.20525","131.58655","3.7","4.198322236","0","0","0","0","36609.75"
"2167","440-047","493165","33.23953","131.68654","33.25302","131.67413","7.9","2.680850107","0","0","0","0","36776.2"
"2168","440-048","493166","33.2281","131.77547","33.21554","131.77908","16.9","1.472647173","0","0","0","0","38010.4"
"2169","440-049","493177","33.25262","131.87963","33.26684","131.90194","7.6","0.5528757781","1","0","2","44","39775.184"
"2170","440-051","493057","33.14225","130.92625","33.152047","130.937675","386","46.2494931","0","0","0","0","48423.574"
"2171","440-053","493151","33.111951","131.189441","33.09778","131.2061","1061.7","34.67404132","1","0","4","44","45725.453"
"2172","440-054","493152","33.12508306","131.2929466","33.11412778","131.2836556","866.3","25.84217161","0","0","0","0","42744.375"
"2173","440-056","493154","33.13973611","131.5550444","33.15123611","131.5430722","487.6","12.13882427","0","0","0","0","38020.098"
"2174","440-057","493155","33.16914","131.73043","33.16354","131.71936","235.3","7.833073333","-1","1","0","44","37522.836"
"2175","440-058a","493146","33.07561","131.75626","33.0651","131.74849","39","6.782244187","-1","1","0","44","38901.39"
"2176","440-058b","493156","33.12755","131.79719","33.13002","131.79565","3.2","0.08389363317","0","0","0","0","38167.977"
"2177","440-065","493143","33.06385","131.44255","33.06645278","131.4577972","576.2","23.18841725","1","0","4","44","41487.934"
"2178","440-074","493133","32.95578","131.38725","32.96852","131.40687","257","36.23655847","1","0","2","44","44549.348"
"2179","440-075","493134","32.931663","131.567272","32.935684","131.564623","307.8","30.47697681","0","0","0","0","45344.195"
"2180","440-076","493135","32.97621","131.65857","32.975798","131.653673","306.1","21.08525219","0","6","8","44","42906.21"
"2181","440-081","493123","32.85211","131.45272","32.84099","131.4568","590.2","36.08404454","0","18","3","44","47118.758"
"2182","440-084","493126","32.84636","131.82803","32.83925","131.81073","116.7","7.382648142","-1","2","0","44","48129.457"
"2183","440-085","493127","32.85385","131.90401","32.84191","131.90966","145.8","4.091116303","-1","2","0","44","47646.973"
"2184","450-004","493112","32.79351","131.36912","32.78994","131.34994","1123.8","39.2097608","0","7","2","45","48521.15"
"2185","450-005","493113","32.79769","131.471","32.80185","131.4774","552.1","31.14141557","0","1","4","45","49308.297"
"2186","450-008","493116","32.79519","131.80117","32.813628","131.796128","143.7","6.661594707","0","0","0","0","49239.27"
"2187","450-012","493104","32.73778","131.54285","32.745036","131.527994","748.1","21.97133218","0","1","7","45","51890.137"
"2188","450-013","493105","32.72728","131.71272","32.74421","131.72877","26.1","8.504661677","0","0","0","0","50706.434"
"2189","450-014","493106","32.69843","131.84338","32.69122","131.84343","16.7","0.503550968","0","0","0","0","50917.69"
"2190","450-017","483171","32.64279","131.21209","32.6295","131.18694","606.4","45.51366497","0","6","6","45","54316.125"
"2191","450-018","483172","32.62844","131.26172","32.62099","131.26811","930.8","40.60566102","1","0","15","45","55096.617"
"2192","450-019","483173","32.629586","131.460192","32.63738","131.47515","237","22.92290822","0","0","0","0","55256.977"
"2193","450-021","483175","32.58749774","131.6882806","32.58849","131.70144","5.8","1.863782087","0","0","0","0","54437.523"
"2194","450-023","483160","32.56513","131.01681","32.54713","131.01836","1349.2","34.33632118","0","0","0","0","55475.223"
"2195","450-023b","483160","32.572089","131.051339","32.570647","131.040397","1288.9","37.36436517","0","0","0","0","55553.105"
"2196","450-027","483164","32.56199","131.60924","32.55182","131.59739","13.7","7.179006456","-1","4","0","45","54736.023"
"2197","450-030","483151","32.46831017","131.2352953","32.47616791","131.2445434","506.6","38.04930596","1","0","8","45","56057.023"
"2198","450-032","483153","32.49103","131.44806","32.47871","131.4351","169.3","19.07729835","1","0","3","45","54636.63"
"2199","450-034","483155","32.42323","131.6242","32.43096","131.63686","5.3","2.366273562","0","0","0","0","52074.684"
"2200","450-035","483140","32.40913","131.09815","32.39942","131.10634","692.1","47.5276461","0","13","9","45","55234.777"
"2201","450-037","483142","32.35217","131.35013","32.33816","131.36687","243.9","23.09932919","1","0","3","45","54835.195"
"2202","450-044","483133","32.28023","131.47152","32.29386","131.47207","362","9.849966928","1","0","1","45","52799.047"
"2203","450-045","483134","32.30664","131.5156","32.31897","131.53581","554.3","6.722674234","1","0","2","45","52135.816"
"2204","450-048","483121","32.20274","131.16183","32.203","131.17698","338.1","36.09569553","1","0","2","45","54955.19"
"2205","450-049","483122","32.2238","131.32609","32.23808","131.32772","169.9","21.74074201","1","0","1","45","54594.203"
"2206","450-054","483017","32.080319","130.871514","32.097142","130.875869","353.3","41.6829643","0","0","0","0","56661.58"
"2207","450-057","483112","32.10926","131.29277","32.12725","131.2793","109.6","21.27543136","1","0","2","45","54561.273"
"2208","450-059","483114","32.13446","131.5175","32.13391","131.53891","5.3","2.033127097","0","0","0","0","53372.78"
"2209","450-063","483100","32.0352","131.03587","32.04605","131.05174","322.5","42.49206887","1","0","2","45","55999.492"
"2210","450-064","483101","32.04493","131.20594","32.05416","131.19873","113.9","27.14505892","0","0","0","0","55178.625"
"2211","450-066","483103","32.03289","131.45296","32.03687","131.44648","47.7","4.301201083","0","0","0","0","54632.836"
"2212","450-071","473171","31.98807","131.18257","31.99236","131.16677","230.6","27.71497915","0","0","0","0","55661.266"
"2213","450-072","473172","31.935869","131.278858","31.920489","131.280061","33.2","17.59979689","0","0","0","0","55720.242"
"2214","450-073","473173","31.9942","131.41644","31.98669","131.41129","71.5","6.481009543","0","0","0","0","55026.074"
"2215","450-076","473161","31.894722","131.234361","31.87735","131.238008","67.3","20.95965553","0","0","0","0","56160.707"
"2216","450-081","473151","31.82464","131.21928","31.80256","131.20727","261.9","22.04025697","0","0","0","0","56718.664"
"2217","450-082","473152","31.76598274","131.2989971","31.76401","131.28365","534.5","15.75151749","0","0","0","0","56898.863"
"2218","450-083","473153","31.81929","131.39837","31.79697","131.39961","19.4","5.24059508","0","0","0","0","56298.473"
"2219","450-085","473140","31.75052","131.08654","31.74396","131.11049","146.9","26.99829435","0","0","0","0","57308.184"
"2220","450-090","473131","31.58704","131.13963","31.59991","131.16075","153","12.65110501","1","0","1","46","57935.51"
"2221","450-094","473122","31.57192","131.2646","31.56299","131.2537","135.4","11.21489241","1","0","1","45","57987.434"
"2222","450-095","473123","31.53701","131.41144","31.52489","131.40827","42.2","0.204203358","0","0","0","0","57092.93"
"2223","450-096","473111","31.4333","131.23352","31.44885","131.22746","2.8","0.364877053","0","0","0","0","58143.348"
"2224","450-097","473112","31.45683","131.31659","31.44897","131.32586","198.1","4.411709162","1","0","1","45","58507.414"
"2225","450-100","473102","31.36263","131.34064","31.37124","131.33927","75.4","0.3007881519","0","0","0","0","59149.25"
"2226","460-008","483012","32.11961389","130.2690111","32.11642","130.25761","28.5","0.2875300693","0","0","0","0","57792.78"
"2227","460-011","483015","32.13419","130.64265","32.14228","130.64458","457","22.28185333","1","0","1","46","59174.33"
"2228","460-012","483001","32.07969","130.19265","32.07348","130.18089","5.1","0.3151440985","0","0","0","0","57672.027"
"2229","460-014","483003","32.05992","130.41436","32.04802","130.41919","98.9","10.11914108","1","0","4","46","58345.223"
"2230","460-015","483004","32.02021","130.61501","32.03813","130.62178","172","27.93553649","0","0","0","0","59979.22"
"2231","460-017","483006","32.023983","130.822883","32.01982","130.82722","283.5","34.36262109","0","0","0","0","57071.062"
